WL(nm),Pan,Coastal,Blue,Green,Yellow,Red,RedEdge,NIR1,NIR2
765,0.921684,0.000013,0.000035,0.000001,0.000001,0.00001,0.000055,0.05886,0.000001
767.5,0.933568,0.000008,0.00003,0.000001,0.000001,0.000007,0.000024,0.123117,0.000001
770,0.940831,0.000006,0.000032,0.000002,0.000001,0.000007,0.00001,0.260204,0
772.5,0.957977,0.000006,0.00004,0.000003,0,0.000009,0.000007,0.506774,0.000001
775,0.963832,0.000007,0.000044,0.000004,0.000001,0.000007,0.000005,0.759967,0.000001
777.5,0.958143,0.000011,0.000039,0.000003,0.000001,0.000005,0.000003,0.94058,0
780,0.941297,0.000019,0.00003,0.000001,0.000001,0.000005,0.000004,0.995805,0.000001
782.5,0.92426,0.000033,0.000025,0.000001,0,0.000002,0.000004,0.997622,0.000001
785,0.903,0.000055,0.000025,0.000001,0,0.000002,0.000005,0.988907,0.000001
787.5,0.895878,0.000106,0.000029,0.000001,0.000001,0,0.000008,0.983091,0.000001
790,0.887152,0.000246,0.00004,0,0,0.000002,0.000008,0.972934,0.000001
792.5,0.910523,0.000246,0.000051,0.000001,0,0.000001,0.000009,0.958312,0.000114
795,0.929402,0.000116,0.000051,0.000001,0.000001,0.000001,0.000006,0.941139,0.000453
797.5,0.744019,0.000069,0.000045,0.000001,0.000001,0.000001,0.000005,0.931907,0.000505
800,0.553867,0.000122,0.000059,0.000001,0.000023,0.000014,0,0.919382,0.00078
802.5,0.320246,0.000125,0.000054,0.000003,0.000016,0.000014,0,0.90908,0.001046
805,0.085816,0.000161,0.000061,0.000001,0.000019,0.000013,0,0.8976,0.000976
807.5,0.051429,0.000196,0.000077,0,0.000021,0.000016,0,0.88212,0.001113
810,0.017298,0.000164,0.000085,0,0.000011,0.000011,0,0.871191,0.001069
812.5,0.01201,0.000117,0.000093,0,0.000014,0.000012,0,0.863054,0.001091
815,0.0066,0.000093,0.000095,0,0.000019,0.000011,0,0.844284,0.001096
817.5,0.004368,0.00008,0.00008,0,0.00002,0.000008,0,0.836496,0.001131
820,0.002131,0.000073,0.000057,0,0.000019,0.000009,0,0.838036,0.001094
822.5,0.001536,0.000063,0.000051,0,0.00001,0.000009,0,0.841189,0.001089
825,0.000922,0.000072,0.000051,0,0.000018,0.000008,0,0.835657,0.001042
827.5,0.000722,0.000069,0.000043,0.000001,0.000012,0.000004,0,0.833819,0.00114
830,0.000529,0.00007,0.000057,0.000005,0.000009,0.000011,0,0.842548,0.001127
832.5,0.00049,0.000072,0.000064,0.000004,0.000014,0.000005,0,0.830777,0.001171
835,0.00045,0.000059,0.000064,0.000002,0.000011,0.000007,0,0.818604,0.001151
837.5,0.000432,0.000047,0.000065,0.000001,0.000011,0.000007,0,0.816837,0.001206
840,0.000409,0.000051,0.000069,0,0.000012,0.000006,0,0.806711,0.001355
842.5,0.000407,0.000039,0.000066,0,0.000008,0.000006,0,0.81076,0.0013
845,0.000396,0.000029,0.000078,0.000001,0.000012,0.000008,0,0.794161,0.001492
847.5,0.00042,0.000028,0.000078,0,0.000013,0.000007,0,0.779884,0.002231
850,0.000447,0.000042,0.000075,0,0.000017,0.000003,0,0.767313,0.004328
852.5,0.000403,0.000028,0.000056,0.000002,0.000011,0.000007,0,0.749602,0.010584
855,0.000361,0.000028,0.000045,0.000009,0.000007,0.000006,0.000001,0.739271,0.030596
857.5,0.00033,0.000031,0.000038,0.000005,0.000009,0.000007,0.000001,0.738714,0.107853
860,0.000298,0.000032,0.000032,0.000002,0.000009,0.000005,0.000002,0.734145,0.313746
862.5,0.000301,0.000025,0.000026,0,0.000007,0.000007,0.000004,0.711833,0.571884
865,0.000309,0.000016,0.00002,0,0.000004,0.000009,0.000009,0.697141,0.789269
867.5,0.000286,0.000017,0.000022,0.000002,0.000006,0.000011,0.000011,0.680462,0.951541
870,0.000261,0.000015,0.000021,0.000001,0.000005,0.000007,0.000011,0.658635,0.987144
